weight_me      weight_mcml    ir
15447.5        15429          0
3627.63        3671.8         1
1952.88        1931.1         2
1228.7         1223.9         3
843.609        902.33         4
675.097        681.47         5
564.794        541.78         6
445.116        444.06         7
373.267        363.03         8
320.05         312.55         9
287.907        279.31         10
231.542        243            11
202.222        206.38         12
184.633        181.49         13
161.439        154.77         14
145.639        144.89         15
125.456        127.02         16
107.573        110.26         17
96.9924        98.654         18
90.8747        94.578         19
79.3464        75.784         20
70.8519        70.935         21
64.6626        64.508         22
59.6579        58.981         23
55.2607        51.615         24
44.4695        47.974         25
43.8893        44.061         26
36.4853        41.782         27
35.6073        33.567         28
32.1188        33.185         29
31.2656        30.374         30
28.309         26.901         31
23.0322        24.684         32
23.6282        22.45          33
20.7205        22.804         34
20.729         18.719         35
17.4944        16.576         36
17.8868        16.612         37
14.4187        15.252         38
13.6992        14.524         39
12.0739        12.185         40
11.6234        11.099         41
11.8267        11.59          42
9.76588        10.492         43
8.97518        9.8207         44
7.96597        8.6339         45
8.28755        8.8428         46
7.88219        6.6988         47
7.01841        6.643          48
5.3141         6.4164         49
5.98772        5.699          50
5.9727         5.6173         51
4.5117         5.4755         52
4.56993        4.8304         53
4.65932        4.7602         54
3.53403        4.1127         55
4.07858        3.9558         56
4.10173        3.4609         57
3.23526        3.2884         58
3.05635        3.0075         59
3.66768        3.2743         60
2.60389        2.8386         61
1.9244         2.8165         62
2.39273        2.8074         63
2.67422        2.1214         64
2.61952        2.1149         65
2.31278        2.1093         66
1.89021        2.0182         67
1.85505        2.05           68
1.33299        1.788          69
1.41896        1.366          70
1.03883        1.2675         71
1.10609        1.4922         72
1.0533         1.4963         73
1.08709        1.214          74
1.1233         1.1582         75
1.27623        1.0144         76
1.47189        1.0552         77
1.09498        1.0051         78
0.836065       0.8615         79
1.50045        0.82889        80
0.622519       0.77106        81
0.559201       0.69458        82
0.716224       0.63627        83
0.52322        0.72036        84
0.537647       0.6118         85
0.516205       0.67279        86
0.624938       0.5112         87
0.975697       0.50292        88
0.724119       0.56957        89
0.312794       0.44533        90
0.420272       0.50709        91
0.400411       0.42697        92
0.294192       0.3223         93
0.370089       0.38688        94
0.277673       0.4187         95
0.430092       0.38676        96
0.178945       0.31398        97
0.230089       0.31029        98
7.55621        6.6688         99
