weight_me      weight_mcml    ir
9.05733        9.2058         0
2.86132        2.963          1
1.67656        1.6758         2
1.15208        1.1685         3
0.87014        0.86072        4
0.672766       0.69128        5
0.561787       0.56826        6
0.474605       0.47898        7
0.40469        0.40786        8
0.356334       0.34802        9
0.309887       0.30109        10
0.278683       0.272          11
0.243077       0.24444        12
0.219975       0.22643        13
0.204168       0.20398        14
0.183708       0.18679        15
0.166597       0.16728        16
0.160415       0.1595         17
0.160816       0.14458        18
0.136859       0.13229        19
0.126402       0.12333        20
0.115103       0.11571        21
0.109444       0.10916        22
0.10342        0.10128        23
0.0957297      0.097372       24
0.0901215      0.090141       25
0.0818269      0.085004       26
0.0785812      0.080294       27
0.0745883      0.075668       28
0.0708046      0.070796       29
0.0657905      0.068632       30
0.0671954      0.064716       31
0.0630021      0.063259       32
0.0576232      0.060157       33
0.0570168      0.056623       34
0.052781       0.053001       35
0.0523441      0.050291       36
0.0492521      0.049232       37
0.0463259      0.04563        38
0.0429729      0.044892       39
0.0424113      0.042682       40
0.0409066      0.040931       41
0.0401025      0.039054       42
0.0361854      0.037247       43
0.0550427      0.036741       44
0.0344196      0.034537       45
0.0333252      0.033929       46
0.0311413      0.031913       47
0.0299316      0.030718       48
0.0300573      0.03051        49
0.0289822      0.029219       50
0.0267661      0.027764       51
0.0259545      0.026796       52
0.0261258      0.024706       53
0.024174       0.024684       54
0.0231674      0.023978       55
0.0218331      0.022963       56
0.0230685      0.022543       57
0.0208531      0.021407       58
0.0228548      0.021137       59
0.0191647      0.019549       60
0.0191469      0.01961        61
0.0173638      0.019068       62
0.0167872      0.018328       63
0.017873       0.017285       64
0.0165311      0.017526       65
0.016568       0.01676        66
0.0164299      0.016085       67
0.0153428      0.015659       68
0.0147745      0.01532        69
0.0134074      0.014773       70
0.0145917      0.015035       71
0.0125717      0.01391        72
0.0128596      0.013576       73
0.0133902      0.013162       74
0.0133549      0.012753       75
0.016661       0.012218       76
0.0156115      0.011683       77
0.01176        0.011913       78
0.0116487      0.011436       79
0.0111478      0.010766       80
0.0109881      0.010661       81
0.00991261     0.010409       82
0.00953666     0.010443       83
0.00988657     0.010234       84
0.00969189     0.0096169      85
0.0107313      0.0095372      86
0.00816319     0.0090497      87
0.00962723     0.0092403      88
0.00809172     0.0089359      89
0.00835482     0.0085491      90
0.00957196     0.0084884      91
0.00830826     0.0080887      92
0.00715034     0.0081006      93
0.00794905     0.0075467      94
0.00670091     0.0074399      95
0.00682638     0.0073086      96
0.00623297     0.0072827      97
0.00640417     0.0070972      98
0.555082       0.5919         99
