weight_me      weight_mcml    ir
2221.71        2202.9         0
663.673        713.68         1
420.002        413.04         2
317.964        304.91         3
230.029        240.63         4
201.821        199.46         5
169.421        161.05         6
146.361        147.87         7
129.535        128.73         8
114.079        116.42         9
104.146        97.321         10
91.0444        92.591         11
92.3342        89.52          12
81.1632        80.791         13
70.1085        77.239         14
66.8526        69.158         15
65.8461        65.359         16
58.7801        65.273         17
55.4978        55.103         18
50.3633        54.083         19
49.3273        49.07          20
44.8169        48.302         21
44.2843        46.495         22
43.708         42.426         23
41.1912        37.663         24
36.7498        35.979         25
33.6034        36.167         26
32.9785        33.041         27
32.2641        32.691         28
29.6421        30.82          29
26.6166        28.537         30
27.7974        28.181         31
23.7802        23.862         32
23.8369        23.642         33
21.8703        22.721         34
22.7181        20.506         35
21.0022        19.762         36
20.1964        20.232         37
18.5983        18.004         38
17.9871        16.786         39
16.4533        17.17          40
16.1955        16.177         41
15.9817        15.738         42
14.5706        15.644         43
14.2178        15.217         44
12.2445        13.134         45
13.0895        13.316         46
12.0968        11.998         47
12.84          11.463         48
11.7826        10.973         49
11.0022        11.484         50
10.6994        10.642         51
9.50135        10.156         52
9.61578        9.6981         53
9.08271        8.9943         54
8.85185        8.7926         55
8.47595        8.2628         56
7.8064         8.3819         57
8.004          7.7153         58
7.48623        7.833          59
7.51595        6.8045         60
6.7819         7.4596         61
6.96095        6.5604         62
5.37151        6.2765         63
6.03888        6.1017         64
6.13621        6.0739         65
5.66442        5.5941         66
5.18938        5.2687         67
5.39584        4.6972         68
5.02673        4.3255         69
4.80655        4.8417         70
4.75199        4.4216         71
4.31329        4.3042         72
4.30943        4.282          73
4.09434        4.598          74
4.15936        3.903          75
3.42181        3.5323         76
3.48991        3.8394         77
3.52635        3.0907         78
3.14893        3.2548         79
3.44519        3.2837         80
2.99099        2.7928         81
2.86099        2.6602         82
2.76042        2.9384         83
2.96288        2.8277         84
2.97461        2.4617         85
2.42014        2.5575         86
2.41794        2.2026         87
2.42793        2.4885         88
2.22799        1.9928         89
2.47308        2.0357         90
2.10098        2.1876         91
2.01719        2.0081         92
1.93167        2.0282         93
1.77337        1.902          94
1.71712        1.8448         95
1.76094        1.824          96
1.94615        1.5517         97
1.4698         1.5813         98
67.938         66.786         99
