weight_1       weight_2       ir
6802.3         6698.78        0
2023.54        1943.82        1
1061.75        1082.18        2
678.387        727.993        3
472.763        482.542        4
357.391        353.107        5
272.588        279.39         6
221.211        220.617        7
183.972        175.937        8
155.401        136.59         9
132.799        117.794        10
109.386        104.735        11
89.1217        98.0145        12
70.8533        75.0319        13
67.244         65.0575        14
58.7968        53.6374        15
49.7805        43.1338        16
45.3806        38.6293        17
36.3998        37.4157        18
32.4472        31.8995        19
29.074         26.4128        20
26.3612        22.3609        21
21.5961        21.2534        22
19.9193        18.437         23
17.431         14.5925        24
16.0615        16.268         25
13.9027        15.8019        26
12.1516        9.84558        27
11.0625        10.3576        28
9.52436        8.44673        29
8.69669        8.72628        30
7.76378        4.64762        31
6.69126        6.85466        32
6.82802        5.73353        33
5.67604        4.64141        34
5.28292        5.13492        35
4.71275        4.24099        36
4.31504        3.54593        37
3.1546         3.65664        38
3.43114        3.04831        39
2.8864         2.33455        40
2.90235        2.36856        41
2.29082        2.12384        42
2.28482        3.77641        43
2.2659         1.78376        44
1.78572        1.72105        45
1.61938        1.53791        46
1.51581        0.870747       47
1.22592        0.938359       48
1.25692        1.02446        49
1.19251        0.872668       50
0.908017       0.464065       51
0.838227       0.64284        52
0.91247        0.613811       53
0.876751       0.531705       54
0.80561        0.391863       55
0.658507       1.69688        56
0.577391       0.244108       57
0.480098       0.298778       58
0.455159       0.666249       59
0.456059       0.296943       60
0.376823       0.187032       61
0.315908       0.222181       62
0.361665       0.347246       63
0.334384       1.27196        64
0.314689       0.197528       65
0.234094       0.12852        66
0.214186       0.242643       67
0.226212       0.110387       68
0.18113        0.125779       69
0.175669       0.207747       70
0.160047       0.150844       71
0.118188       0.23772        72
0.119415       0.141366       73
0.111966       0.0959072      74
0.108705       0.090468       75
0.0964641      0.0769994      76
0.11691        0.0900061      77
0.111694       0.0754464      78
0.0788985      0.0211717      79
0.062234       0.060106       80
0.0731354      0.0145534      81
0.0639766      0.130434       82
0.0613005      0.0208776      83
0.0658804      0.0127171      84
0.0260536      0.0341353      85
0.0303605      0.0297906      86
0.0524343      0.00368438     87
0.0384143      0.0210517      88
0.0349392      0.00715089     89
0.0354035      0.014343       90
0.0325661      0.0177844      91
0.0295406      0.0304761      92
0.0238835      0.00586434     93
0.0177989      0.0201605      94
0.0219497      0.0112628      95
0.0163375      0.0279527      96
0.0200656      0.00210095     97
0.0180653      0.00414704     98
0.205649       0.141608       99
