weight_1       weight_2       ir
6928.7         2115.29        0
2050.17        1849.47        1
1060.26        1701.47        2
688.833        1512           3
470.469        1343.5         4
353.509        1191.3         5
282.739        1088.43        6
216.467        1026.99        7
180.432        932.551        8
147.528        1017.9         9
125.372        880.308        10
104.359        830.526        11
90.9391        693.187        12
78.2452        639.736        13
64.3287        573.502        14
56.8885        566.291        15
49.4737        483.373        16
43.2112        447.993        17
37.0007        406.594        18
33.0986        405.241        19
27.9537        349.828        20
26.24          309.241        21
22.7331        333.374        22
19.9657        387.953        23
18.1564        234.486        24
15.3821        221.991        25
14.714         214.294        26
11.6783        187.242        27
11.125         205.022        28
9.93678        173.282        29
9.63195        153.072        30
8.5344         112.109        31
7.31591        174.921        32
6.31447        176.375        33
5.59523        105.41         34
5.02368        103.263        35
4.52158        156.894        36
3.77173        97.3075        37
3.43006        86.2015        38
3.42186        84.1007        39
2.72972        71.5435        40
2.55248        62.3736        41
2.59985        84.4674        42
2.41567        47.8837        43
2.19417        59.079         44
1.90952        38.0622        45
1.65773        41.5453        46
1.52637        46.2885        47
1.41465        45.696         48
1.25445        38.7654        49
1.05238        26.0806        50
0.99509        23.7726        51
0.929834       19.6256        52
1.0175         20.3599        53
0.730045       25.7508        54
0.773462       14.0857        55
0.725849       22.487         56
0.584082       16.2967        57
0.586388       11.174         58
0.379707       8.23738        59
0.460587       17.9592        60
0.407967       19.1785        61
0.401056       3.88857        62
0.345694       14.5036        63
0.333943       5.83521        64
0.284205       7.76247        65
0.233894       6.58058        66
0.271758       25.0556        67
0.198404       3.45357        68
0.221274       6.2955         69
0.146278       3.62787        70
0.17535        11.7393        71
0.137377       4.45122        72
0.104465       4.45954        73
0.11147        6.18109        74
0.115116       1.92593        75
0.0839389      2.06275        76
0.0882758      2.45589        77
0.0713633      2.41561        78
0.0983206      2.07115        79
0.082329       3.84022        80
0.0705376      6.70255        81
0.0590048      1.21389        82
0.0501005      1.12159        83
0.0625066      1.31672        84
0.0435409      2.59138        85
0.0329863      0.944991       86
0.038423       0.49229        87
0.0379678      4.54691        88
0.0388412      0.422477       89
0.0347538      1.44078        90
0.0214418      0.837398       91
0.0305684      1.44033        92
0.0323149      0.567249       93
0.0197232      1.2688         94
0.0218848      0.639216       95
0.0127394      2.57999        96
0.0156082      0.203445       97
0.0158172      0.0893613      98
0.196559       7.34042        99
