weight_me      weight_mcml    ir
0.0469342      0.046934       0
0.00521491     0.0052149      1
0              0.0031289      2
0.00446992     0.002235       3
0              0.0052149      4
0.00142225     0.0014222      5
0.00361032     0.0024069      6
0.00104298     0.0052149      7
0.00184056     0.00092028     8
0.00164681     0.0016468      9
0.000744987    0.00149        10
0.00204062     0.00068021     11
0.00125158     0.0025032      12
0.0017383      0.0011589      13
0.00107895     0.00053947     14
0.000504668    0.00050467     15
0.00237041     0.00047408     16
0.00178797     0.0011175      17
0              0.00084566     18
0.000802293    0.0016046      19
0.00114474     0.0011447      20
0.00109149     0.00072766     21
0.000695321    0.00069532     22
0.000332866    0.0013315      23
0.00095784     0.00031928     24
0.000613518    0.001227       25
0              0.0014759      26
0.000853348    0.00085335     27
0              0              28
0.000795494    0.00053033     29
0.000769412    0.00025647     30
0.000248329    0.00049666     31
0.000722064    0              32
0.00070051     0.00093401     33
0.00045347     0.00068021     34
0.000440696    0              35
0.000428622    0.00085724     36
0              0              37
0.000609535    0.00071112     38
0.000396069    0.00019803     39
0.000869151    0.00019314     40
0.000565472    9.4245e-05     41
0.000644194    0.00036811     42
0.000179824    0.00062939     43
0.000351567    0.00017578     44
0.00034384     0.00017192     45
0.000168223    0.00067289     46
0.000164681    0.00016468     47
0.000322572    0.00048386     48
0.000158027    0              49
0.000464695    0              50
0.00015189     0.00015189     51
0.000446992    0.00044699     52
7.31062e-05    0.00043864     53
0.000287059    0.00028706     54
0.000140943    0.00014094     55
0.000276898    0              56
0.000136041    0.00040812     57
0.000133716    0.00026743     58
0.000164335    0.00013147     59
0.000129295    0              60
0              0.00012719     61
0              0.00031289     62
0.00036956     0.00024637     63
0.000181915    0.0007883      64
0.000298563    0.00024258     65
0.000117629    0.00023526     66
0.000289717    0.00046355     67
0.00022839     0.00022839     68
0.000112552    0.00056276     69
0.000166433    0.00022191     70
0.000218807    0.00032821     71
0.000161842    0              72
0.000106427    0.00031928     73
0              0.00031499     74
0.000207215    0.00020721     75
0.000102253    0.00020451     76
0.000126167    0.00010093     77
0.000199296    0.0001993      78
0.000442775    0.00019679     79
0              0.00043727     80
0.00028794     9.598e-05      81
0.000189633    0.00018963     82
0.000187362    9.3681e-05     83
0.000162002    0              84
0              0.00018298     85
0.000271296    0.0002713      86
0.000178797    0.0002682      87
8.83883e-05    0.00013258     88
0.000305902    0.0002185      89
0              0              90
0.000341961    0.00025647     91
0.000211415    0.00016913     92
8.36616e-05    0.00025098     93
0.000248329    9.3123e-05     94
0.000163819    0.00049146     95
0.000162121    0.00016212     96
4.01147e-05    8.0229e-05     97
7.94148e-05    0.00031766     98
0.339174       0.33358        99
