weight_me      weight_mcml    ir
124.54         128.61         0
46.8192        41.289         1
25.362         26.014         2
19.5926        19.114         3
13.4494        14.175         4
11.2523        11.491         5
10.8078        9.2629         6
8.12687        8.2871         7
6.93257        7.6752         8
6.43554        7.1703         9
5.82179        5.8733         10
4.89593        5.105          11
5.0731         4.5912         12
4.43144        4.4527         13
4.24579        4.4682         14
3.58074        3.7568         15
4.06178        3.5645         16
3.28906        3.356          17
3.26588        3.1267         18
3.26451        2.8721         19
3.14612        2.9817         20
2.67506        2.6303         21
2.60151        2.6155         22
2.49292        2.5764         23
2.34372        2.5975         24
2.23845        2.3708         25
2.76686        2.0198         26
1.8324         2.0508         27
1.87721        2.1887         28
2.06487        1.8965         29
2.01815        1.7663         30
1.83526        1.7392         31
1.8322         1.7594         32
1.56768        1.6243         33
1.50269        1.6783         34
1.44328        1.6412         35
1.51922        1.5139         36
1.44219        1.4971         37
1.40433        1.346          38
1.39008        1.3925         39
1.40613        1.3185         40
1.26715        1.3684         41
1.20654        1.3787         42
1.29355        1.3212         43
1.23277        1.2558         44
1.18677        1.1743         45
1.25982        1.1218         46
1.21749        1.1439         47
1.13812        1.1673         48
0.955065       1.021          49
1.23639        1.0678         50
1.14254        1.0533         51
1.06024        1.0484         52
0.976646       0.96263        53
1.07553        0.95892        54
1.09575        0.91995        55
0.903732       0.98592        56
0.853279       0.92205        57
0.870193       0.90966        58
0.949325       0.89678        59
0.898652       0.90274        60
0.817455       0.9062         61
0.741105       0.83557        62
0.904263       0.85192        63
0.783301       0.87384        64
0.956159       0.78981        65
0.845952       0.78885        66
0.829263       0.78301        67
0.745303       0.78859        68
0.83485        0.78329        69
0.750032       0.755          70
0.753506       0.76607        71
0.778911       0.74801        72
0.745101       0.6787         73
0.763575       0.69806        74
0.718626       0.71647        75
0.630065       0.6245         76
0.642349       0.7332         77
0.597136       0.66552        78
0.672146       0.59772        79
0.630093       0.63235        80
0.732058       0.60127        81
0.571631       0.60413        82
0.674405       0.62087        83
0.685305       0.61459        84
0.754398       0.62322        85
0.600314       0.57651        86
0.586831       0.6081         87
0.572413       0.58987        88
0.556995       0.57988        89
0.537225       0.58739        90
0.543827       0.56638        91
0.669721       0.54013        92
0.530837       0.51157        93
0.488911       0.54017        94
0.471573       0.53007        95
0.450271       0.53031        96
0.510626       0.52484        97
0.562985       0.53987        98
282.751        284.86         99
