DWIVEDI        CLASSICAL      RUN
0.275822       0.424675       0 0.649489
0.42732        0.424238       1 1.00726
0.306982       0.42461        2 0.722973
0.328133       0.424874       3 0.772308
0.323028       0.424589       4 0.760801
0.294103       0.424533       5 0.692768
0.421898       0.424594       6 0.993651
0.300605       0.423906       7 0.709131
0.280897       0.424824       8 0.661208
0.282333       0.4244         9 0.665253
0.302454       0.424095       10 0.713176
0.425961       0.424673       11 1.00303
0.306592       0.42428        12 0.722616
0.446479       0.424356       13 1.05213
0.287767       0.424461       14 0.677957
0.291931       0.424603       15 0.687538
0.309107       0.424709       16 0.727807
0.246309       0.424445       17 0.580309
0.308548       0.42402        18 0.727672
0.283081       0.424498       19 0.666861
0.275138       0.42415        20 0.648681
0.262723       0.424248       21 0.619268
0.440456       0.424983       22 1.03641
0.378864       0.424145       23 0.893242
0.30219        0.424509       24 0.711859
0.311146       0.424123       25 0.733623
0.331687       0.424281       26 0.781763
0.292341       0.423995       27 0.689492
0.404071       0.424501       28 0.951873
0.25596        0.424056       29 0.6036
0.275856       0.424544       30 0.64977
0.514028       0.423881       31 1.21267
0.334887       0.42439        32 0.789102
0.341919       0.423432       33 0.807495
0.274994       0.424357       34 0.648025
0.243064       0.424303       35 0.572855
0.78825        0.424413       36 1.85727
0.275973       0.424382       37 0.650295
0.293425       0.424476       38 0.691263
0.314503       0.424589       39 0.740724
0.290926       0.424873       40 0.684736
0.356957       0.424772       41 0.840349
0.280059       0.424051       42 0.660438
0.282696       0.425098       43 0.665013
0.338176       0.424421       44 0.796795
0.282886       0.423951       45 0.667261
0.274622       0.424          46 0.647693
0.286203       0.42506        47 0.673324
0.301382       0.424056       48 0.710713
0.406774       0.42428        49 0.958741
0.316271       0.424092       50 0.745762
0.270126       0.42446        51 0.636399
0.316729       0.424448       52 0.746213
0.461063       0.424103       53 1.08715
0.280731       0.42511        54 0.660372
0.289119       0.424696       55 0.680768
0.307201       0.424585       56 0.723533
0.626071       0.424492       57 1.47487
0.273155       0.423663       58 0.644747
0.343831       0.424642       59 0.809695
0.350215       0.425          60 0.824035
0.374419       0.424678       61 0.881654
0.328799       0.42494        62 0.773755
0.294422       0.424125       63 0.694186
0.304864       0.425112       64 0.717137
0.303917       0.424383       65 0.716138
0.349823       0.424464       66 0.824153
0.266993       0.424311       67 0.629239
0.405323       0.424748       68 0.954267
0.31906        0.423993       69 0.752514
0.351773       0.42489        70 0.827915
0.285247       0.424785       71 0.671509
0.321912       0.424528       72 0.758282
0.322161       0.424307       73 0.759264
0.32245        0.423831       74 0.760798
0.292354       0.424193       75 0.6892
0.300963       0.424302       76 0.709314
0.283748       0.424978       77 0.667677
0.360312       0.424576       78 0.84864
0.315661       0.424451       79 0.743692
0.265563       0.42489        80 0.625016
0.287897       0.424153       81 0.678759
0.28662        0.424787       82 0.674738
0.272504       0.424697       83 0.641644
0.298889       0.424229       84 0.704546
0.29153        0.424238       85 0.687186
0.378712       0.424371       86 0.892407
0.505048       0.425015       87 1.18831
0.263043       0.424746       88 0.619295
0.274537       0.424703       89 0.64642
0.331499       0.424241       90 0.781393
0.362596       0.42447        91 0.854231
0.292597       0.423572       92 0.690784
0.424266       0.423848       93 1.00099
0.321793       0.423999       94 0.758947
0.397545       0.423913       95 0.9378
0.309738       0.423914       96 0.730662
0.283417       0.423795       97 0.668758
0.26914        0.424575       98 0.633904
0.297162       0.424191       99 0.700536
